10th(%),12th(%),Diploma Marks ,Overall CGPA,Overall %,Current backlogs,Score/800,Aptitude,English,Quantitative,Analytical,Domain,Computer Fundamentals,Coding,Written English,COMPANY PLACED
62,60,0,6.292133333,55.42,1,437,40,27,33,60,60,20,0,28,None
72.16,71.3,0,2.769666667,20.2,4,295,29,33,27,27,30,27,0,0,None
80.16,59,0,5.198555556,44.49,3,470,49,67,27,53,0,33,0,40,None
90.72,86,0,7.655777778,69.06,0,560,64,47,67,80,50,47,8,59,None
86.4,81.16,0,7.347666667,65.98,0,541,56,73,40,53,40,60,0,79,Phable Care/Capgemini
93,60,0,7.010666667,62.61,0,485,47,33,53,53,50,67,18,42,BankBazaar.com
83,74,0,6.860111111,61.1,0,450,33,33,27,40,40,47,0,55,Qspiders/Seventh Sense/Verzeo/DXC Technologies
94.24,81.16,0,7.676333333,69.26,0,507,47,53,20,67,45,40,10,77,Karmic Design Pvt. Ltd.
82.56,69.5,0,7.417444444,66.67,0,477,47,47,20,73,35,27,0,19,SLK Software
84.64,77.16,0,7.547111111,67.97,0,497,47,33,27,80,75,53,0,52,Kaynes Technology/Wipro Ltd.
89,82,0,6.701444444,59.51,0,556,64,73,47,73,65,20,10,70,Phable Care
78,68,0,6.376,56.26,0,488,47,87,33,60,60,20,0,28,None
70,66,0,7.156111111,64.06,0,451,44,40,7,0,40,33,0,38,Quality Kiosk/Elcamino Software Pvt Ltd
74,70,0,6.164111111,54.14,0,445,40,40,20,27,0,53,0,43,Qspiders
89.44,92.66,0,8.448111111,76.98,0,541,62,60,27,27,30,27,0,0, iWave Systems Technologies Pvt. Ltd
90.08,70.08,0,6.511111111,57.61,0,478,44,67,33,40,35,20,0,42,None
80.1,63.5,0,6.763,60.13,0,541,60,60,27,53,0,33,0,40,Elcamino Software Pvt Ltd
79.04,79,0,6.669111111,59.19,0,450,40,33,67,80,50,47,8,59,Elcamino Software Pvt Ltd
75,81,0,7.522666667,67.73,0,508,53,53,40,53,40,60,0,79,Blocked(Poornam)
93,83,0,8.124888889,73.75,0,566,56,40,53,53,50,67,18,42,Qspiders/Capgemini
80,85,0,7.482,67.32,0,543,53,53,27,40,40,47,0,55,Accenture/Kaynes Technology
78,65,0,6.2188,54.69,1,445,38,53,20,67,45,40,10,77,None
80,60,0,5.946444444,51.96,0,345,20,13,20,73,35,27,0,19,None
78.56,80.16,0,5.971555556,52.22,0,320,29,40,27,80,75,53,0,52,None
